deposit_id,state,district,latitude,longitude,grade,mn_pct,estimated_tonnage_mt,geological_type,depth_m,status,discovery_year
MN-0001,Odisha,Kalahandi,21.897371,84.389389,Medium (35-44% Mn),42.8,72.31,Lateritic (Supergene enrichment),92.2,Active Mining,1983
MN-0002,Odisha,Koraput,21.113905,84.631332,Medium (35-44% Mn),40.5,77.55,Sedimentary (Gondite series),6.0,Exploration Phase,1984
MN-0003,Odisha,Kalahandi,22.153156,83.280899,High (>44% Mn),48.7,101.06,Volcanogenic (Dharwar Supergroup),11.7,Exploration Phase,2010
MN-0004,Odisha,Keonjhar,21.079902,86.030217,High (>44% Mn),45.8,282.35,Sedimentary (Gondite series),39.9,Active Mining,2019
MN-0005,Odisha,Koraput,21.489202,83.653831,High (>44% Mn),45.7,202.44,Metamorphic (Kodurite series),87.3,Exploration Phase,1988
MN-0006,Odisha,Jajpur,22.090773,84.637095,High (>44% Mn),48.3,54.29,Volcanogenic (Dharwar Supergroup),90.1,Exhausted,1984
MN-0007,Odisha,Sundargarh,21.774895,83.089568,High (>44% Mn),46.3,143.66,Volcanogenic (Dharwar Supergroup),7.0,Exploration Phase,2010
MN-0008,Odisha,Sundargarh,22.3248,85.245024,Medium (35-44% Mn),40.6,32.83,Volcanogenic (Dharwar Supergroup),53.0,Under Assessment,2007
MN-0009,Odisha,Kalahandi,22.675153,83.600881,Medium (35-44% Mn),43.7,85.22,Sedimentary (Gondite series),128.1,Exploration Phase,1964
MN-0010,Odisha,Keonjhar,22.696347,84.770545,Medium (35-44% Mn),35.3,93.8,Volcanogenic (Dharwar Supergroup),97.3,Active Mining,2011
MN-0011,Odisha,Jajpur,22.935425,84.964552,High (>44% Mn),48.8,194.84,Volcanogenic (Dharwar Supergroup),105.7,Under Assessment,1987
MN-0012,Odisha,Kalahandi,22.232322,84.763001,Low (25-35% Mn),34.0,45.05,Volcanogenic (Dharwar Supergroup),51.1,Under Assessment,1992
MN-0013,Odisha,Kalahandi,22.179937,83.450941,High (>44% Mn),49.5,106.24,Sedimentary (Gondite series),44.1,Exploration Phase,1983
MN-0014,Odisha,Sundargarh,21.370971,84.823241,Medium (35-44% Mn),37.3,108.85,Metamorphic (Kodurite series),77.1,Under Assessment,2008
MN-0015,Odisha,Jajpur,21.146587,84.432668,High (>44% Mn),48.4,227.07,Volcanogenic (Dharwar Supergroup),90.9,Exploration Phase,2014
MN-0016,Odisha,Kalahandi,20.879731,85.118513,Medium (35-44% Mn),42.5,90.49,Lateritic (Supergene enrichment),51.5,Active Mining,1965
