year,state,actual_production_kt,target_production_kt,shortfall_kt,shortfall_pct,capacity_utilization_pct,active_mines,avg_grade_pct,export_kt,domestic_consumption_kt
2014,Odisha,1129.8,1351.6,221.8,16.4,70.2,20,42.5,163.3,972.5
2014,Karnataka,666.0,711.3,45.3,6.4,76.0,12,37.8,75.0,567.5
2014,Madhya Pradesh,408.4,527.3,118.9,22.5,61.9,7,40.4,69.3,350.2
2014,Maharashtra,400.8,472.0,71.1,15.1,80.1,8,43.1,65.1,296.3
2014,Goa,250.3,309.2,58.9,19.1,72.6,7,45.2,23.2,204.0
2014,Andhra Pradesh,195.9,199.5,3.6,1.8,75.3,5,37.5,13.4,153.6
2014,Rajasthan,68.4,99.8,31.4,31.4,78.2,3,40.9,3.7,60.7
2014,Jharkhand,72.0,83.5,11.6,13.8,67.6,3,46.0,8.3,51.5
2015,Odisha,1319.4,1489.6,170.2,11.4,57.8,25,44.2,80.9,941.7
2015,Karnataka,582.7,706.4,123.7,17.5,57.3,11,33.7,91.7,502.2
2015,Madhya Pradesh,456.5,521.3,64.8,12.4,62.7,9,39.8,73.5,374.8
2015,Maharashtra,431.7,487.9,56.2,11.5,77.1,7,39.2,69.4,380.5
2015,Goa,291.2,299.8,8.6,2.9,83.1,11,38.2,20.1,229.1
2015,Andhra Pradesh,231.6,218.6,0.0,0.0,57.1,3,47.0,38.5,201.0
2015,Rajasthan,83.8,94.9,11.1,11.7,58.7,4,36.2,5.9,75.4
2015,Jharkhand,62.8,84.5,21.7,25.6,72.1,3,32.7,10.5,48.1
2016,Odisha,1291.8,1642.2,350.5,21.3,73.2,24,37.0,162.1,1102.8
2016,Karnataka,617.8,813.4,195.6,24.0,67.9,10,36.0,69.0,506.9
2016,Madhya Pradesh,421.0,550.4,129.5,23.5,56.3,8,40.1,55.4,312.0
2016,Maharashtra,385.2,504.9,119.7,23.7,84.7,9,36.7,63.2,304.6
2016,Goa,275.8,343.2,67.4,19.6,83.2,7,40.4,23.6,215.0
2016,Andhra Pradesh,171.5,215.8,44.3,20.5,75.5,4,34.5,21.4,145.7
2016,Rajasthan,77.3,104.8,27.5,26.2,70.1,3,33.7,4.6,56.8
2016,Jharkhand,80.6,96.0,15.4,16.0,70.3,3,42.7,6.4,67.5
2017,Odisha,1116.2,1715.3,599.1,34.9,64.1,24,41.8,137.4,863.1
2017,Karnataka,606.2,847.7,241.5,28.5,66.5,13,38.5,109.3,474.6
2017,Madhya Pradesh,490.1,613.1,123.0,20.1,59.3,10,38.0,50.6,391.7
2017,Maharashtra,406.1,572.6,166.5,29.1,69.2,8,43.4,28.8,338.7
2017,Goa,231.0,316.5,85.5,27.0,57.8,4,34.3,15.0,193.7
2017,Andhra Pradesh,153.1,259.9,106.8,41.1,83.0,4,34.1,21.8,108.0
2017,Rajasthan,78.3,104.7,26.4,25.2,57.3,3,37.1,11.8,62.2
2017,Jharkhand,65.8,87.8,22.0,25.1,79.2,3,32.4,9.2,50.6
2018,Odisha,1132.9,1642.6,509.7,31.0,72.8,28,38.8,108.2,919.7
2018,Karnataka,638.6,773.6,135.0,17.5,60.6,11,40.1,114.9,559.8
2018,Madhya Pradesh,497.6,589.6,92.0,15.6,78.0,5,43.4,92.3,349.2
2018,Maharashtra,414.1,593.4,179.3,30.2,56.7,9,40.7,56.0,292.8
2018,Goa,235.0,334.9,99.9,29.8,74.2,5,38.4,42.0,180.6
2018,Andhra Pradesh,166.9,263.9,97.0,36.8,76.3,3,47.7,26.2,130.8
2018,Rajasthan,88.1,117.9,29.8,25.3,83.6,3,33.8,11.1,73.7
2018,Jharkhand,61.7,94.7,33.1,34.9,68.2,3,39.5,7.2,49.3
2019,Odisha,1308.3,1810.4,502.1,27.7,60.1,21,32.0,212.5,995.6
2019,Karnataka,662.6,833.7,171.1,20.5,70.7,14,31.4,44.8,487.1
2019,Madhya Pradesh,510.0,666.7,156.7,23.5,67.7,9,39.2,41.9,413.3
2019,Maharashtra,473.9,551.3,77.4,14.0,62.5,7,36.8,81.8,418.2
2019,Goa,304.3,361.3,57.0,15.8,68.0,6,33.5,37.5,237.5
2019,Andhra Pradesh,200.9,241.4,40.5,16.8,82.2,4,39.6,35.9,143.0
2019,Rajasthan,96.6,107.5,10.8,10.1,62.2,3,37.3,17.4,85.8
2019,Jharkhand,91.4,107.4,16.0,14.9,60.6,3,41.2,17.1,72.4
2020,Odisha,954.9,1808.7,853.8,47.2,68.2,22,30.3,190.1,772.2
2020,Karnataka,658.2,857.2,199.0,23.2,79.0,10,34.9,36.2,528.8
2020,Madhya Pradesh,469.1,716.9,247.8,34.6,78.5,11,33.3,79.8,388.6
2020,Maharashtra,449.7,591.8,142.1,24.0,74.1,10,35.4,34.8,370.2
2020,Goa,217.0,387.6,170.7,44.0,66.3,7,38.7,24.1,180.1
2020,Andhra Pradesh,209.4,278.6,69.3,24.9,75.9,3,46.0,33.0,188.4
2020,Rajasthan,85.3,122.8,37.6,30.6,64.8,3,44.1,15.8,63.4
2020,Jharkhand,66.8,102.1,35.3,34.6,74.6,3,31.4,9.4,59.2
2021,Odisha,1241.0,1693.4,452.4,26.7,60.1,25,45.1,66.1,926.6
2021,Karnataka,723.2,959.4,236.2,24.6,56.5,12,46.1,60.8,586.3
2021,Madhya Pradesh,448.2,741.6,293.4,39.6,72.6,8,42.6,57.7,388.5
2021,Maharashtra,350.5,571.0,220.6,38.6,76.2,4,37.1,31.9,245.6
2021,Goa,261.0,388.1,127.1,32.7,61.8,7,41.2,13.5,208.2
2021,Andhra Pradesh,186.8,288.7,101.9,35.3,72.9,5,46.7,20.5,142.7
2021,Rajasthan,88.7,120.9,32.1,26.6,60.6,3,41.2,13.5,70.8
2021,Jharkhand,67.5,111.5,44.0,39.5,79.9,3,33.6,12.4,51.6
2022,Odisha,1003.1,1822.2,819.0,44.9,69.0,25,46.2,72.7,867.9
2022,Karnataka,514.7,998.3,483.5,48.4,70.9,9,42.3,73.8,376.1
2022,Madhya Pradesh,571.8,687.2,115.4,16.8,64.5,7,35.6,92.7,463.9
2022,Maharashtra,523.4,660.3,136.9,20.7,59.5,5,37.2,64.1,403.6
2022,Goa,234.5,409.8,175.3,42.8,83.1,6,40.2,33.2,167.4
2022,Andhra Pradesh,229.2,307.9,78.7,25.6,72.9,3,43.0,26.8,163.2
2022,Rajasthan,94.4,128.8,34.4,26.7,68.7,3,36.1,11.3,72.0
2022,Jharkhand,79.7,106.0,26.4,24.9,84.7,3,39.0,6.3,63.4
2023,Odisha,1384.7,2062.0,677.3,32.8,66.1,24,35.3,241.2,1146.1
2023,Karnataka,862.0,1034.1,172.1,16.6,56.6,13,44.0,122.5,615.4
2023,Madhya Pradesh,524.8,740.1,215.3,29.1,83.6,8,33.3,73.9,389.6
2023,Maharashtra,511.6,687.1,175.5,25.5,80.6,9,31.4,51.9,428.4
2023,Goa,291.2,401.7,110.5,27.5,66.7,3,44.6,32.4,205.4
2023,Andhra Pradesh,161.5,315.2,153.7,48.8,74.9,6,45.2,26.6,125.3
2023,Rajasthan,86.6,136.6,50.0,36.6,81.8,3,43.0,10.4,62.1
2023,Jharkhand,64.9,116.3,51.4,44.2,55.2,3,47.8,6.8,56.4
2024,Odisha,1367.5,2086.5,719.0,34.5,70.8,23,39.3,86.3,1136.6
2024,Karnataka,743.7,1075.6,331.9,30.9,63.5,11,41.8,96.8,609.3
2024,Madhya Pradesh,472.0,786.8,314.8,40.0,77.4,8,42.1,69.2,353.4
2024,Maharashtra,362.4,650.4,287.9,44.3,58.1,10,31.1,37.1,312.0
2024,Goa,318.4,400.4,82.0,20.5,78.9,6,33.8,28.7,237.7
2024,Andhra Pradesh,184.9,300.0,115.1,38.4,81.2,3,40.3,33.6,136.7
2024,Rajasthan,70.1,138.0,67.9,49.2,78.8,6,43.5,13.4,54.7
2024,Jharkhand,63.4,113.5,50.0,44.1,61.2,3,37.1,4.2,44.8
