cell_id,state,latitude,longitude,B2,B3,B4,B8,B11,B12,ndvi,clay_index,ferrous_index,mn_proxy,elevation,slope,distance_to_fault,prospectivity_score,confidence,priority
CELL-00001,Odisha,20.070916,84.925915,0.0989,0.112,0.0618,0.2368,0.2702,0.199,0.5864,1.3577,1.1411,0.1517,1186.6,4.8,34.8,0.5501,0.385,Medium
CELL-00002,Odisha,22.152793,85.077308,0.1489,0.0493,0.0387,0.3535,0.2651,0.1322,0.8025,2.0044,0.7498,0.3343,187.4,3.0,44.7,0.7274,0.5678,High
CELL-00003,Odisha,20.679969,84.064989,0.029,0.1079,0.0322,0.3801,0.1548,0.212,0.8439,0.7301,0.4072,-0.156,1068.1,22.8,26.6,0.4629,0.5374,Medium
CELL-00004,Odisha,22.008461,85.982418,0.106,0.1137,0.1515,0.2628,0.0992,0.2187,0.2686,0.4538,0.3776,-0.3757,1153.4,6.1,34.5,0.4964,0.4235,Medium
CELL-00005,Odisha,20.290029,84.351113,0.1183,0.0821,0.1397,0.3784,0.3767,0.1204,0.4608,3.1289,0.9955,0.5156,539.2,5.3,49.6,0.9148,0.6951,High
CELL-00006,Odisha,22.5261,84.562874,0.1011,0.0434,0.1559,0.1447,0.3443,0.2846,-0.0374,1.2099,2.3797,0.095,879.6,1.3,15.2,1.0,0.5127,High
CELL-00007,Odisha,20.262928,85.810873,0.092,0.0758,0.0915,0.2565,0.2722,0.2047,0.4744,1.3297,1.0611,0.1415,1111.3,17.4,49.6,0.4902,0.576,Medium
CELL-00008,Odisha,22.791786,83.349099,0.1263,0.0871,0.178,0.4038,0.3379,0.287,0.388,1.1773,0.8367,0.0814,435.1,2.8,20.1,0.635,0.4506,Medium
CELL-00009,Odisha,21.038299,85.926831,0.1033,0.1534,0.0439,0.4017,0.3753,0.1961,0.8031,1.9135,0.9342,0.3136,766.9,26.8,8.7,0.5133,0.5814,Medium
CELL-00010,Odisha,20.439122,84.102603,0.0289,0.0339,0.0443,0.4371,0.2558,0.3397,0.8158,0.7531,0.5853,-0.1409,575.7,10.9,25.3,0.4913,0.6157,Medium
